LEVANTAMENTO DE HOSPEDAGENS ,,,entrar em contato para conferir os valores e datas disponiveis!,Casamento será no dia 31 de outubro de 2026!,
,,,,,
HOTEL,VALOR ,INCLUSO,Distancia do Hotel para espaço,Site,obs
Casa amarela,"a partir de 383,00",café da manhã,"20 a 24 min (18,2 km)",https://www.pousadacasaamarela.com.br/,
Hotel Fazenda Hípica Atibaia,"a partir de 2044,80",café da manhã/ almoço / jantar,"14 a 18 min (7,2 km)",https://hotelfazendaatibaia.com.br/,"não faz locação de 1 dia so nos finais de semana, tem que locar sabado e domingo"
Villa Verde Pousada Gastronômica,"a partir de 1010,00",café da manhã,"14 min (9,3 km)",https://villaverdechales.com.br/,"não faz locação de 1 dia so nos finais de semana, tem que locar sabado e domingo"
Batholo Plaza Hotel,"a partir de 270,00",café da manhã,"10 a 16 min (9,8 km)",https://www.instagram.com/bartholohotelatibaia/,
Faro Hotel Atibaia,"a partir de 583,00",café da manhã,"12 a 18 min (12,8 km)",https://www.farohoteis.com.br/faro-hotel-atibaia,1 diaria 
Bourbon Resort Atibaia,"a partir de 3706,88",café da manhã/ almoço / jantar,"De 16 a 22 min (15,4 km)
",https://www.bourbon.com.br/hotel/bourbon-atibaia,"não faz locação de 1 dia so nos finais de semana, tem que locar sabado e domingo"
Atibaia residence Hotel e resort,"a partir de 1334,08",café da manhã/ almoço /cha da tarde/ jantar,"De 20 a 26 min (22,2 km)",https://atibaiaresidence.com.br/,
Pousada Bezerra          ,"a partir de 1510,60",café da manhã/ almoço / jantar,"30 min (22,9 km)",https://www.pousadabezerra.com.br/,"não faz locação de 1 dia so nos finais de semana, tem que locar sabado e domingo"
,,,,,
,,,,,
AIRBNB,VALOR ,DIARIA,Distancia do Hotel para espaço,,
Recanto dos Oliveiras, R$5.630,1.400 por dia ,SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,"Mínimo 3 noites (30/10 - 02/11). Espaço inteiro: casa
10 hóspedes 4 quartos 5 camas 4 banheiros",https://www.airbnb.com.br/rooms/1235527446632723539?viralityEntryPoint=1&unique_share_id=A5C207C3-C8CC-4B1F-A7BF-228EB1E1FD82&slcid=6e5dc6dd9f4e42d2&source_impression_id=p3_1775248342_P369qoCtXJS82yqq&guests=2&adults=2&check_in=2026-10-30&check_out=2026-11-02
cond. Reg de atibaia spa, R$3.993,1.330 por dia,SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,2 noites: 30/10 - 01/11. Espaço inteiro: casa 8 hóspedes 3 quartos6   camas 5 banheiros,https://www.airbnb.com.br/rooms/42045811?viralityEntryPoint=1&unique_share_id=3E0B47B9-A1BF-4A82-AC05-07964103E88C&slcid=a8e36d232e694ce995586c4b9b725517&s=76&feature=share&adults=8&check_in=2026-10-30&channel=native&slug=WWqkZeAq&source_impression_id=p3_1744135005_P3haQJ0LFdU1Kv8L&guests=8&check_out=2026-11-01
chacara ao lado atiaia top, R$2.786,930 por dia ,SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,2 noites: 30/10 - 01/11. Espaço inteiro: casa. 14 hóspedes 3 quartos 4 camas 3 banheiros,https://www.airbnb.com.br/rooms/1348810334337990563?viralityEntryPoint=1&unique_share_id=2133F55E-3F83-48DF-9F5D-678586952802&slcid=671f3545458044879c05a64ba6aa24f2&s=76&feature=share&adults=12&check_in=2026-10-30&channel=native&slug=puqtzgnT&source_impression_id=p3_1744135482_P3FY5QXIQ1GQPDzH&guests=12&check_out=2026-11-01
"Natureza, Represa e Paz"," R$  4,639.00 ","1900,00 por dia ",SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,,https://www.airbnb.com.br/rooms/719553558253700010?check_out=2025-09-21&unique_share_id=6DC42230-00D8-4429-B96A-1DF63131CA8F&slcid=df21323c96bb4063b4f6fbbf02ea4c1f&s=13&feature=share&adults=16&check_in=2025-09-19&channel=whatsapp&slug=0KhvLvUk&source_impression_id=p3_1744218314_P3nazVlMTaVBkCDt&guests=16
Chacara dos sonhos piscina climatizada," R$  4,845.00 ","1700,00 por dia ",SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,,https://www.airbnb.com.br/rooms/804349784119262636?check_out=2025-09-21&viralityEntryPoint=1&unique_share_id=D0ED67E8-0AD9-4CE1-AEE4-576484CBA734&slcid=7283f908bc5d42b2aa8a8ba88343f908&s=76&feature=share&adults=16&check_in=2025-09-19&channel=native&slug=c9Xpj2cl&source_impression_id=p3_1744218454_P3UAnYffoXjtm9Qa&guests=16
Encanto de canedos, R$685,228 por dia ,SOMENTE APÓS RESERVA. TEM NO MAPA DO AIRBNB,2 noites: 30/10 - 01/11. Espaço inteiro: casa. 5 hóspedes 1 quarto 4 camas 1 banheiro,https://www.airbnb.com.br/rooms/1199262466519423259?viralityEntryPoint=1&unique_share_id=7FF6517F-B963-4754-9B31-0C819F30E9B4&slcid=593c0405735140d989a8bbe01b3c3e79&s=76&feature=share&adults=1&check_in=2026-10-30&channel=native&slug=HUyGgQ1u&source_impression_id=p3_1744218559_P3VBPad8IVeFEQXr&guests=1&check_out=2026-11-01
